id = 162
editor = MH
# XUUw obtained by fit to the first two sin harmonics


collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUUw


y1name = XUUw
y1namelong = weigthed Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
# Systematic error include c0/c1 enhancement of cos(phi)
y1errorsystematic = column6  


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column7

### Data
#
# CLAS 2018 XUUw
#
#  Q2       xB       tm        FTval   FTstat  FTsyst   FTn 
###########################################################
2.162000 0.304000 0.343000  0.000516 0.005417 0.002731    2
2.162000 0.304000 0.451000 -0.000267 0.003829 0.002093    2
2.625000 0.301000 0.119000  0.121865 0.107417 0.016612    2
2.653000 0.304000 0.155000  0.013405 0.011067 0.010405    2
2.656000 0.304000 0.205000  0.003315 0.003870 0.008227    2
2.652000 0.304000 0.264000  0.006299 0.002462 0.005846    2
2.653000 0.304000 0.342000 -0.004161 0.002173 0.006013    2
2.649000 0.305000 0.448000 -0.001797 0.002177 0.002128    2
2.645000 0.305000 0.606000 -0.004040 0.002353 0.000911    2
2.286000 0.333000 0.158000  0.004436 0.018590 0.003955    2
2.295000 0.334000 0.205000  0.038038 0.029816 0.007991    2
2.295000 0.334000 0.264000 -0.000705 0.004670 0.002764    2
2.295000 0.334000 0.343000 -0.010096 0.009506 0.001984    2
2.295000 0.334000 0.452000  0.000413 0.007090 0.001373    2
2.843000 0.332000 0.159000  0.056432 0.037169 0.014324    2
2.858000 0.334000 0.205000  0.004392 0.005159 0.005781    2
2.861000 0.334000 0.264000  0.000084 0.002113 0.004204    2
2.860000 0.334000 0.343000 -0.000405 0.001546 0.002597    2
2.855000 0.334000 0.449000 -0.002221 0.001058 0.001447    2
2.850000 0.335000 0.607000 -0.002137 0.001065 0.000691    2
2.387000 0.359000 0.169000  0.034089 0.084712 0.005393    2
2.417000 0.364000 0.205000  0.001337 0.014620 0.003239    2
2.419000 0.364000 0.264000 -0.010177 0.008131 0.002065    2
2.419000 0.364000 0.343000 -0.016413 0.007028 0.001111    2
2.419000 0.364000 0.452000  0.006497 0.006256 0.001649    2
#2.999000 0.358000 0.171000 -1.006245 0.919789 0.146129    2
3.049000 0.364000 0.206000  0.010715 0.011944 0.005289    2
3.055000 0.364000 0.264000  0.001997 0.003222 0.003280    2
3.057000 0.364000 0.343000  0.001970 0.001986 0.002188    2
3.057000 0.364000 0.451000 -0.000318 0.000844 0.001131    2
3.047000 0.365000 0.609000  0.005527 0.003849 0.000939    2
2.516000 0.392000 0.213000 -0.065148 0.048347 0.005838    2
2.552000 0.399000 0.264000  0.005962 0.008477 0.002018    2
2.552000 0.399000 0.344000 -0.004734 0.004399 0.000622    2
2.551000 0.399000 0.452000 -0.011474 0.008026 0.001496    2
#2.550000 0.399000 0.614000 -0.048610 6.429350 0.260030    2
3.204000 0.391000 0.215000 -0.043018 0.051389 0.006297    2
3.264000 0.398000 0.265000 -0.013963 0.054483 0.001669    2
3.271000 0.399000 0.344000  0.004834 0.002952 0.001977    2
3.272000 0.399000 0.452000  0.000885 0.001174 0.000960    2
3.270000 0.399000 0.612000  0.000153 0.000668 0.000536    2
2.990000 0.447000 0.345000 -0.005833 0.002645 0.000503    2
3.061000 0.456000 0.453000  0.002465 0.001988 0.000856    2
3.588000 0.429000 0.277000 -0.033366 0.053573 0.004286    2
3.708000 0.447000 0.347000  0.000791 0.005433 0.001340    2
3.824000 0.466000 0.455000 -0.000235 0.000849 0.000593    2
3.907000 0.479000 0.615000 -0.000283 0.000455 0.000286    2
3.934000 0.484000 0.888000 -0.000334 0.000230 0.000099    2
